"Date","Name"
"20150101","Neujahrstag"
"20150102","Berchtoldstag"
"20150214","Valentinstag"
"20150403","Karfreitag"
"20150405","Ostern"
"20150406","Osternmontag"
"20150413","Sechselaeuten"
"20150501","Tag der Arbeit"
"20150510","Muttertag"
"20150514","Auffahrt"
"20150524","Pfingsten"
"20150525","Pfingstmontag"
"20150801","Nationalfeiertag"
"20150914","Knabenschiessen"
"20150920","Buss- und Bettag"
"20151225","Weihnachten"
"20151226","Stephanstag"
"20151231","Sylvester"
"20160101","Neujahrstag"
"20160102","Berchtoldstag"
"20160214","Valentinstag"
"20160325","Karfreitag"
"20160327","Ostern"
"20160328","Osternmontag"
"20160418","Sechselaeuten"
"20160501","Tag der Arbeit"
"20160508","Muttertag"
"20160505","Auffahrt"
"20160515","Pfingsten"
"20160516","Pfingstmontag"
"20160801","Nationalfeiertag"
"20160912","Knabenschiessen"
"20160918","Buss- und Bettag"
"20161225","Weihnachten"
"20161226","Stephanstag"
"20161231","Sylvester"
"20170101","Neujahrstag"
"20170102","Berchtoldstag"
"20170214","Valentinstag"
"20170414","Karfreitag"
"20170416","Ostern"
"20170417","Osternmontag"
"20170424","Sechselaeuten"
"20170501","Tag der Arbeit"
"20170514","Muttertag"
"20170525","Auffahrt"
"20170604","Pfingsten"
"20170605","Pfingstmontag"
"20170801","Nationalfeiertag"
"20170911","Knabenschiessen"
"20170917","Buss- und Bettag"
"20171225","Weihnachten"
"20171226","Stephanstag"
"20171231","Sylvester"
